;Basic.Industries;Capital.Goods;Consumer.Durables;Consumer.Non.Durables;Consumer.Services;Energy;Finance;Health.Care;Miscellaneous;Public.Utilities;Technology;Transportation;
Basic Industries;1;0.9;0.86;0.82;0.82;0.83;0.76;0.57;0.76;0.2;0.82;0.78;
Capital Goods;0.9;1;0.94;0.88;0.9;0.75;0.83;0.67;0.85;0.21;0.9;0.83;
Consumer Durables;0.86;0.94;1;0.9;0.91;0.7;0.83;0.66;0.82;0.21;0.88;0.82;
Consumer Non-Durables;0.82;0.88;0.9;1;0.91;0.67;0.79;0.64;0.82;0.22;0.85;0.78;
Consumer Services;0.82;0.9;0.91;0.91;1;0.68;0.82;0.68;0.85;0.21;0.87;0.8;
Energy;0.83;0.75;0.7;0.67;0.68;1;0.64;0.46;0.65;0.21;0.68;0.68;
Finance;0.76;0.83;0.83;0.79;0.82;0.64;1;0.58;0.72;0.19;0.77;0.74;
Health Care;0.57;0.67;0.66;0.64;0.68;0.46;0.58;1;0.7;0.15;0.74;0.58;
Miscellaneous;0.76;0.85;0.82;0.82;0.85;0.65;0.72;0.7;1;0.18;0.92;0.72;
Public Utilities;0.2;0.21;0.21;0.22;0.21;0.21;0.19;0.15;0.18;1;0.2;0.19;
Technology;0.82;0.9;0.88;0.85;0.87;0.68;0.77;0.74;0.92;0.2;1;0.77;
Transportation;0.78;0.83;0.82;0.78;0.8;0.68;0.74;0.58;0.72;0.19;0.77;1;
